hour,day,weekday,weekday_number,week,monthday,month,quarter,season,weekhour
1,1,Monday,1,1,1,January,1,winter,1
2,1,Monday,1,1,1,January,1,winter,2
3,1,Monday,1,1,1,January,1,winter,3
4,1,Monday,1,1,1,January,1,winter,4
5,1,Monday,1,1,1,January,1,winter,5
6,1,Monday,1,1,1,January,1,winter,6
7,1,Monday,1,1,1,January,1,winter,7
8,1,Monday,1,1,1,January,1,winter,8
9,1,Monday,1,1,1,January,1,winter,9
10,1,Monday,1,1,1,January,1,winter,10
11,1,Monday,1,1,1,January,1,winter,11
12,1,Monday,1,1,1,January,1,winter,12
13,1,Monday,1,1,1,January,1,winter,13
14,1,Monday,1,1,1,January,1,winter,14
15,1,Monday,1,1,1,January,1,winter,15
16,1,Monday,1,1,1,January,1,winter,16
17,1,Monday,1,1,1,January,1,winter,17
18,1,Monday,1,1,1,January,1,winter,18
19,1,Monday,1,1,1,January,1,winter,19
20,1,Monday,1,1,1,January,1,winter,20
21,1,Monday,1,1,1,January,1,winter,21
22,1,Monday,1,1,1,January,1,winter,22
23,1,Monday,1,1,1,January,1,winter,23
24,1,Monday,1,1,1,January,1,winter,24
25,2,Tuesday,2,1,2,January,1,winter,25
26,2,Tuesday,2,1,2,January,1,winter,26
27,2,Tuesday,2,1,2,January,1,winter,27
28,2,Tuesday,2,1,2,January,1,winter,28
29,2,Tuesday,2,1,2,January,1,winter,29
30,2,Tuesday,2,1,2,January,1,winter,30
31,2,Tuesday,2,1,2,January,1,winter,31
32,2,Tuesday,2,1,2,January,1,winter,32
33,2,Tuesday,2,1,2,January,1,winter,33
34,2,Tuesday,2,1,2,January,1,winter,34
35,2,Tuesday,2,1,2,January,1,winter,35
36,2,Tuesday,2,1,2,January,1,winter,36
37,2,Tuesday,2,1,2,January,1,winter,37
38,2,Tuesday,2,1,2,January,1,winter,38
39,2,Tuesday,2,1,2,January,1,winter,39
40,2,Tuesday,2,1,2,January,1,winter,40
41,2,Tuesday,2,1,2,January,1,winter,41
