RoR,Geothermal
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
0.64,0.31
