id,from,to,voltage,reactance,resistance,circuits,pmax
2,94,86,220,2.308285036,0.425590054,1,490
3,142,86,220,2.114328719,0.389829358,1,490
4,87,159,220,2.969431856,0.547488998,1,490
5,161,88,220,2.82490982,0.520842748,1,490
6,162,161,220,11.01181145,2.030302736,1,490
7,83,159,220,4.559371399,0.840634102,1,490
8,100,8,220,1.820484417,0.335651814,1,490
9,159,100,220,7.018315148,1.294001855,1,490
10,161,99,220,6.465882375,1.192147063,1,490
11,9,151,220,0.757886059,0.139735242,1,490
12,123,9,220,0.450981072,0.083149635,1,490
13,123,148,220,3.863161197,0.712270346,1,490
14,155,82,220,2.317357083,0.427262712,1,490
15,154,10,220,3.413085142,0.629287573,1,490
16,10,148,220,5.582238858,1.029225289,1,490
17,89,92,220,4.475807948,0.82522709,1,490
18,154,148,220,8.99732756,1.658882269,1,490
19,145,12,220,9.221374995,1.700191015,1,490
20,145,91,220,8.546241861,1.575713343,1,490
21,11,90,220,0.561465912,0.103520278,1,490
22,154,11,220,2.494223801,0.459872513,1,490
23,12,90,220,0.559511122,0.103159863,1,490
24,13,392,220,11.33362361,2.089636853,1,490
26,154,155,220,9.994723917,1.842777222,1,490
27,158,123,220,4.986219636,0.919334245,2,490
28,98,142,220,2.526296831,0.465785978,2,490
29,85,142,220,1.041964591,0.192112221,1,490
30,15,202,380,2.249839413,0.259596855,2,1700
31,156,93,380,3.093008394,0.356885584,1,1700
32,153,148,380,9.309302119,1.074150244,1,1700
33,145,16,380,6.303796838,0.727361174,1,1700
34,17,132,380,3.582951685,0.413417502,1,1700
36,122,176,220,4.039995819,0.744874229,1,490
37,175,176,380,2.389712505,0.275736058,1,1700
38,157,158,380,4.277311509,0.493535943,1,1700
39,151,149,220,9.293995169,1.713580359,1,490
40,18,150,380,2.479376252,0.286081875,1,1700
41,18,149,380,6.038733345,0.696776924,1,1700
42,151,157,380,8.261361072,0.95323397,1,1700
43,151,149,380,7.361359209,0.849387601,1,1700
44,149,142,380,4.954930271,0.571722724,1,1700
45,142,94,220,4.405903069,0.812338378,1,490
46,159,86,380,4.212377193,0.486043522,1,1700
