id,latitude,longitude
1,53.124,6.953
2,55.037,9.269
3,54.94,9.39
4,53.191,14.478
5,51.092,15.117
6,51.514,6.996
7,51.322,6.523
8,51.325,6.674
9,51.61,7.031
10,51.561,7.139
11,51.613,7.344
12,51.613,7.344
13,52.198,7.371
14,51.46,6.732
15,52.204,6.918
16,51.645,7.403
17,51.754,7.832
18,51.632,6.953
19,51.416,7.135
20,51.341,6.719
21,51.147,5.918
22,49.138,6.695
23,49.199,6.279
24,49.669,6.14
26,49.291,6.774
27,49.811,6.844
28,49.906,6.113
30,49.499,8.57
31,50.078,8.537
32,49.029,8.273
33,49.358,7.241
34,49.445,8.501
35,51.898,7.607
36,51.677,7.982
37,51.684,7.992
38,52.176,10.355
39,47.925,7.564
40,47.539,7.752
42,48.056,8.626
43,48.057,8.627
44,48.543,9.241
45,47.55,8.048
46,48.719,9.371
47,48.813,9.378
48,47.247,10.873
49,48.027,10.642
50,47.143,9.812
51,50.492,13.244
52,49.68,12.785
53,47.294,11.102
54,48.257,13.081
55,54.1,12.214
56,52.368,10.761
57,52.858,8.083
58,49.36,8.664
59,49.363,9.076
60,52.38,8.996
61,51.7,8.741
62,51.409,7.724
63,53.637,9.487
64,53.658,9.491
65,51.673,7.931
66,51.97,7.546
67,49.357,6.741
68,50.437,7.429
69,50.881,6.488
70,50.621,7.013
71,50.618,7.013
72,50.159,8.735
73,50.06,8.989
74,49.295,9.091
75,48.533,9.218
76,49.578,8.068
77,49.421,8.352
78,48.986,8.445
79,47.572,7.957
80,47.586,7.839
81,49.98,10.664
82,51.411,7.196
83,51.379,6.657
84,51.446,6.873
85,51.513,6.741
86,51.576,6.683
87,51.554,6.651
88,51.299,6.543
89,51.473,7.18
90,51.621,7.324
91,51.619,7.445
92,51.548,7.18
93,51.526,7.123
94,51.619,6.614
95,51.556,6.577
96,51.52,6.812
97,51.505,6.787
98,51.48,6.723
99,51.391,6.721
100,51.356,6.724
101,51.091,6.709
102,50.83,6.27
103,50.844,6.929
104,51.032,6.936
105,51.345,7.603
106,50.834,6.963
107,50.827,7.096
108,50.906,7.047
109,50.999,7.023
110,51.038,6.976
111,50.966,6.806
112,50.984,6.851
113,51.058,6.576
114,51.268,6.809
115,51.147,6.773
116,51.163,6.828
117,51.206,6.847
118,51.249,6.998
119,51.172,7.122
120,51.534,7.719
121,51.535,7.5
122,51.472,7.279
123,51.598,7.038
124,51.491,6.967
125,47.915,8.531
126,53.235,8.406
127,51.813,9.228
128,49.97,9.09
129,48.763,12.851
130,52.569,11.727
131,48.846,8.249
132,51.823,7.994
133,52.302,10.505
134,53.566,9.069
135,51.828,13.157
136,53.252,13.957
137,53.794,13.4
138,53.251,12.088
139,53.572,11.699
140,49.749,6.621
141,50.802,6.167
142,51.527,6.715
143,51.401,11.947
144,50.39,6.532
145,51.676,7.709
146,51.673,7.983
147,51.695,6.222
148,51.697,7.061
149,51.646,6.68
150,51.565,6.907
151,51.626,7.024
152,51.532,7.522
153,51.576,7.353
154,51.574,7.264
155,51.389,7.168
156,51.45,7.127
157,51.445,6.948
158,51.499,6.927
159,51.476,6.617
160,51.374,6.869
161,51.261,6.626
162,51.243,6.329
163,51.009,6.702
164,51.038,6.612
165,50.993,6.668
166,50.912,6.216
167,50.953,6.596
168,50.864,6.843
169,50.829,6.301
170,50.872,6.457
171,51.124,6.802
172,51.175,7.008
173,51.07,6.966
174,51.233,7.233
175,51.446,7.313
176,51.457,7.417
177,51.411,7.454
178,51.401,7.506
179,51.011,7.938
180,50.917,9.746
181,50.606,8.656
182,50.759,8.284
183,50.769,7.864
184,50.842,7.985
185,50.798,7.193
186,50.795,6.973
187,50.643,7.137
188,50.402,7.449
189,50.386,7.593
190,50.406,8.066
191,50.591,8.48
192,50.082,8.959
193,50.131,8.872
194,50.203,8.809
195,50.092,8.619
196,49.974,8.772
197,50.098,8.47
198,50.046,8.532
199,49.815,8.589
200,49.982,8.388
201,49.811,7.793
202,52.203,7.034
203,52.193,8.932
204,52.277,7.727
205,52.066,8.319
206,52.264,8.104
207,52.277,7.89
208,51.343,8.993
209,51.428,8.625
210,51.178,8.211
211,51.927,8.364
212,51.736,8.703
213,51.994,8.629
214,52.105,8.571
215,52,8.659
216,51.983,8.814
217,52.026,9.39
218,51.897,9.924
219,51.325,9.567
220,51.64,9.388
221,51.649,9.851
222,51.516,9.883
223,52.001,9.797
224,51.167,9.05
225,51.059,9.258
226,51.259,9.514
227,50.529,9.774
