unit,node,technology,fuel,capacity,efficiency,emission,varcost,rup,rdn,latitude,longitude
BNA0005,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,37.5,37.5,52.58950001,13.5586524
BNA0006,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,37.5,37.5,52.58950001,13.5586524
BNA0007,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,37.5,37.5,52.58950001,13.5586524
BNA0008,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,37.5,37.5,52.58950001,13.5586524
BNA0012a,223,Steam turbine,Biomass,13,0.38,0,0,13,13,51.984761,9.822831
BNA0012b,223,Steam turbine,NaturalGas,20,0.3267,0.617692072,0,20,20,51.98513,9.82246
BNA0015,46,Gas turbine,NaturalGas,65,0.3722,0.542181623,0,65,65,48.717611,9.374917
BNA0016,46,Gas turbine,NaturalGas,50,0.3046,0.662508207,0,50,50,48.717611,9.374917
BNA0017,46,Gas turbine,NaturalGas,57,0.3098,0.651387992,0,57,57,48.717611,9.374917
BNA0018,46,Gas turbine,NaturalGas,81,0.315,0.640634921,0,81,81,48.717611,9.374917
BNA0019,46,Steam turbine,HardCoal,336,0.44,0.772954545,3.350000229,336,336,48.717611,9.374917
BNA0020,46,Steam turbine,HardCoal,433,0.455,0.747472527,3.239560661,433,433,48.717611,9.374917
BNA0021,301,Steam turbine,Biomass,9.8,0.38,0,0,9.8,9.8,47.79714,10.85874
BNA0025,417,Steam turbine,NaturalGas,15.1,0.3773,0.534852902,0,15.1,15.1,53.85625,13.7101
BNA0027,130,Steam turbine,Biomass,138.9,0.38,0,0,138.9,138.9,52.72713,12.01115
BNA0033,296,Gas turbine,NaturalGas,28.8,0.3904,0.516905738,0,28.8,28.8,48.40099,10.93576
BNA0051,373,Steam turbine,NaturalGas,18,0.3773,0.534852902,0,18,18,51.983192,11.87656
BNA0055,365,Steam turbine,Biomass,16,0.38,0,0,16,16,52.07778,13.51725
BNA0059b,226,Combined cycle,NaturalGas,78,0.5985,0.337176274,0,78,78,51.25308,9.4379
BNA0062,356,Steam turbine,Biomass,18.3,0.38,0,0,18.3,18.3,52.18269,14.25841
BNA0066,145,Steam turbine,Biomass,17.7,0.38,0,0,17.7,17.7,51.63701,7.61876
BNA0067,145,Steam turbine,HardCoal,717,0.3775,0.900927152,2.603090686,717,717,51.63702,7.6191
BNA0068,364,Steam turbine,Biomass,16.5,0.38,0,0,16.5,16.5,52.42529,13.517308
BNA0070,364,Gas turbine,NaturalGas,8,0.405999517,0.497044926,0,8,8,52.433508,13.559704
BNA0071,364,Gas turbine,NaturalGas,5,0.369602531,0.545991932,0,5,5,52.433508,13.559704
BNA0072,364,Gas turbine,NaturalGas,7,0.385193427,0.523892636,0,7,7,52.433508,13.559704
BNA0073,369,Combined cycle,NaturalGas,444,0.522,0.386590038,0,444,444,52.51172353,13.4209156
BNA0074,370,Gas turbine,NaturalGas,211,0.38,0.531052632,0,211,211,52.52185624,13.31109524
