node,WindOnshore,WindOffshore,SolarPV,RoR,Geothermal
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,4.898497543,0,15.5182337,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,2.89564202,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
26,0,0,0,0,0
27,157.3612603,0,82.78549289,31.99089414,0
28,0,0,0,0,0
30,0,0,0,0,0
31,0,0,3.141389445,0,0
32,48.01065142,0,126.8466495,0.274543084,7.8
33,27.18814602,0,51.18651946,0.105834868,0
34,0,0,0,0,0
35,314.5539163,0,314.5638645,0.419486446,0
36,0,0,0,0,0
37,85.79940429,0,106.7198861,1.105451658,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,22.13662105,5.876284799,0
47,0,0,23.13580161,0.420308057,0
48,0,0,0,0,0
49,44.13293272,0,566.8170823,112.7670979,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,76.47754253,0,35.25294659,0,0
56,418.2250188,0,135.7005295,0.123668743,0
57,404.8499907,0,429.5966889,0.764373784,0
58,0,0,79.18023787,13.53732078,0
59,0,0,71.26134668,7.949832716,0
60,0,0,0,0,0
61,600.9358822,0,229.3360139,0.701381338,0
62,17.9775818,0,57.23890274,14.33490059,0
63,0,0,0,0,0
64,0,0,0,0,0
65,154.5230571,0,96.95350435,2.173988508,0
66,0,0,0,0,0
67,14.37739914,0,46.50592922,5.169049862,0
68,134.563117,0,161.9255837,1.465978464,0
69,0,0,0,0,0
70,0,0,0,0,0
71,6.394343892,0,73.26854546,0.163075356,0
72,0,0,60.02170978,3.561773973,0
73,89.01796736,0,102.8895078,1.464134216,0
74,0,0,57.31480855,0.156334739,0
75,0,0,0,0,0
76,86.66815392,0,125.5882099,0.403362663,0
77,135.4999409,0,151.7347911,0.103755136,0
78,0.001012722,0,67.7732184,1.422540489,0
79,0,0,0,36.8,0
80,0,0,0,0,0
81,0,0,0,0,0
82,5.919505834,0,8.424409697,0.083897289,0
83,0,0,0,0,0
84,0,0,12.90079054,12.11267114,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,27.18075251,0,81.03301936,0,0
89,0,0,22.99504463,1.289920823,0
90,0,0,0,0,0
91,4.428982782,0,22.10560659,0,0
92,6.494421868,0,21.45034508,0,0
93,0,0,0,0,0
94,68.50944335,0,111.8067078,0.050967603,0
95,0,0,0,0,0
96,0,0,5.717031152,0,0
97,0,0,0,0,0
98,0,0,6.060228858,0,0
99,0,0,11.76138844,0,0
100,0,0,0,0,0
101,76.11249497,0,35.09309728,0.162760741,0
102,20.33499306,0,15.78953142,0.397463408,0
103,0,0,0,0,0
104,0,0,11.10898402,0,0
105,0,0,0,0,0
106,0,0,6.155216672,0,0
107,0,0,0,0,0
108,0,0,15.19236762,0,0
109,0,0,19.57920173,0.61460008,0
110,0,0,0,0,0
111,4.452405287,0,14.02070769,0.044046077,0
112,0,0,11.32893811,0,0
113,0,0,4.322875158,0,0
114,5.759806935,0,22.67517634,0.057679386,0
115,0,0,12.25089658,0.036705064,0
116,0,0,6.738473155,0,0
117,0,0,5.490575076,0,0
118,4.27460718,0,5.218353004,0,0
119,0.000894314,0,15.44617616,1.58295308,0
120,12.45651407,0,20.74480085,0,0
121,11.71125255,0,40.80806964,0,0
122,0,0,0,0,0
123,4.897432884,0,13.46221968,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,30.44925663,0,57.09822246,0.304442288,0
128,0.00133194,0,109.3700429,6.945681733,0
129,2.065216843,0,807.1835351,68.76026105,0
130,356.0685427,0,231.4533387,0,0
131,0,0,92.07674635,80.50510694,0
132,71.65157241,0,31.00597425,0,0
133,58.91350389,0,82.58385914,0.889405406,0
134,627.3418753,0,121.6373509,0,0
135,145.3042687,0,35.90239773,0.008285018,0
136,730.4847113,0,337.2198896,0.172537684,0
137,783.985593,0,327.8680246,0.077137245,0
138,530.7714398,0,230.9663822,0.052064798,0
139,0.457571244,0,10.89287819,0.045618801,0
140,92.6764015,0,37.33454266,32.31526668,0
141,85.19222908,0,51.97514088,1.166172321,0
142,0,0,0,0,0
143,501.7083924,0,173.9364149,6.600082158,0
144,132.2040714,0,75.77064402,15.63075356,0
145,61.47875259,0,139.3299076,0.206597075,0
146,0,0,0,0,0
147,159.3116818,0,237.9250635,0,0
148,0,0,0,0,0
149,106.1676147,0,207.6438769,0.057679386,0
150,0,0,0,0,0
151,25.01949408,0,60.3015271,0.011535877,0
152,0,0,0,0,0
153,0,0,0,0,0
154,34.19685744,0,42.87719268,0.023071755,0
155,0,0,0,0,0
156,0,0,6.325686344,8.179985704,0
157,0,0,6.305424098,0.943844504,0
158,0,0,0,0,0
159,16.32655071,0,29.95778902,0,0
160,0.29810461,0,10.79820171,0.012584593,0
161,0,0,0,0,0
162,134.0634989,0,146.9406657,0.007865371,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,246.9530532,0,110.0777468,0,0
167,155.2236029,0,34.61339989,0,0
168,14.05392892,0,28.1105003,0,0
169,0,0,0,0,0
170,95.872572,0,48.29287413,17.90918769,0
171,0,0,0,0,0
172,0.292781314,0,7.394249361,0,0
173,0,0,17.35019707,0,0
174,27.37249765,0,60.21272615,10.6428955,0
175,0,0,9.483487588,2.526357123,0
176,0,0,0,0,0
177,0.521683068,0,17.74101999,8.357218728,0
178,7.772013055,0,13.60650284,1.631802276,0
179,10.11426356,0,22.47063164,23.83543328,0
180,53.74640945,0,76.77416664,2.959155738,0
181,185.8267446,0,216.3188801,2.134689868,0
182,49.47900103,0,51.817355,4.304658258,0
183,74.00279821,0,103.2365614,4.15428569,0
184,46.01989922,0,26.27813777,0.029888409,0
185,0,0,45.38153911,0.171989443,0
186,34.86759282,0,76.6306288,0,0
187,13.41470747,0,34.89425626,0,0
188,0,0,0,20,0
189,424.8439658,0,160.2154191,23.77930361,0
190,57.04164509,0,144.9786869,4.677584474,0
191,26.11251537,0,38.935501,1.237292435,0
192,0,0,0,0,0
193,7.387108802,0,28.65273961,4.174907921,0
194,18.13864339,0,27.25586371,0.015264746,0
195,0.001097095,0,11.16659879,0,0
196,4.388381466,0,47.1858644,0.110245385,0
197,12.28746811,0,22.67930381,0.094980639,0
198,0,0,0,0,0
199,8.016110145,0,81.07047056,0.039069268,0
200,187.1498416,0,137.7605832,4.261408146,0
201,756.1375802,0,262.680946,4.09191603,0
202,400.8327366,0,348.394337,0.476641475,0
203,99.21400529,0,81.88519965,0.612450212,0
204,0,0,0,0,0
205,0,0,0,0,0
206,83.75183272,0,118.8346914,0.074706016,0
207,120.2553998,0,151.6244273,0.199256062,0
208,218.5907663,0,147.183106,3.138516499,0
209,128.7439286,0,70.95123354,5.990266454,0
210,52.23761613,0,85.30710336,14.66598027,0
211,27.8195481,0,166.6966395,0.084946005,0
212,0,0,0,0,0
213,4.258637291,0,25.09777001,0,0
214,34.94744227,0,73.2037882,0.093335734,0
215,0,0,0,0,0
216,50.81618947,0,66.09269559,0.341881454,0
217,142.7247826,0,73.65291292,3.063451425,0
218,41.02536012,0,46.50394483,2.717481808,0
219,43.89154553,0,90.25870796,4.977579127,0
220,116.6334288,0,71.73920278,0.556868258,0
221,37.06192996,0,89.03904359,2.880724549,0
222,33.69100382,0,119.6657809,2.869871985,0
223,21.2462461,0,22.73265101,2.6293489,0
224,64.18935306,0,128.8044625,25.8205323,0
225,19.97444964,0,42.87536886,0.29562724,0
226,34.4758562,0,121.9168562,4.409136962,0
227,153.7665461,0,218.2310108,3.136778014,0
228,524.8419914,0,304.3736036,5.766013208,0
229,675.9593051,0,196.6103399,0.87847356,0.22
230,109.2826745,0,273.141844,18.1731859,0
231,24.98896396,0,156.4978403,26.65010929,0
232,294.5620079,0,433.6985781,16.46541397,0
233,153.0585142,0,241.2143116,31.19104595,0
234,0,0,0,0,0
235,310.2628617,0,158.8202398,1.846025366,0
236,373.1262583,0,237.801854,85.41705161,0
237,99.05183373,0,93.16768478,0.234323397,0
238,0.001603055,0,99.04544292,2.34850381,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,132.3178259,0,72.57426451,1.404934453,0
243,216.005177,0,241.8519598,0.49429413,0
244,95.76516718,0,95.77579824,1.106021196,0
245,28.08685871,0,52.96804565,1.031655811,0
246,97.62636463,0,123.9045905,7.18664455,0
247,29.58500505,0,61.2611462,13.65579901,0
248,106.319512,0,44.92720899,0,0
249,0,0,35.46701943,0,0
250,0,0,8.246065534,0,0
251,0,0,66.17683915,0.466363426,0
252,0,0,18.15333222,0,0
253,0,0,11.02305525,6.654789544,0
254,86.82400063,0,382.821414,10.65083222,0
255,5.401181999,0,100.3565672,4.371034783,0
256,0,0,26.08572891,6.617818491,0
257,2.700590999,0,83.66498158,19.40610573,0
258,0,0,0,0,0
259,0,0,0,0,0
260,0,0,58.76359563,0,0
261,0,0,0,0,0
262,0.128278072,0,110.7343458,0.121476317,0
263,10.27574875,0,72.35756906,0.421998162,0
264,0,0,0,0,0
265,1.012721625,0,104.1430733,8.234404193,0
266,3.60650425,0,78.37858173,148.2593539,0
267,37.68202136,0,203.5041274,12.64082556,0
268,68.89680243,0,220.8958358,8.680222276,0
269,0,0,70.12169242,2.84455282,0
270,0,0,71.91229954,11.94069944,0
271,6.353140326,0,45.30419304,0.241896318,0
272,0.675957927,0,26.36150489,2.429526342,0
273,0,0,36.71608411,9.401210626,0
274,14.8532505,0,164.1187131,3.477391616,0
275,0,0,45.3811981,2.655472291,0
276,57.56410988,0,255.7484387,13.5140607,0
277,0.002025443,0,105.2672854,20.23631973,0
278,47.39672234,0,65.10308473,6.49338449,0
279,2.443899825,0,134.448494,1.21740396,0
280,50.62932976,0,155.3226751,7.554242449,0
281,8.709405973,0,126.9493242,2.332873446,0
282,2.702211354,0,84.04717392,140.2707307,0
283,0,0,0,0,0
284,0,0,0,0,0
285,4.309468087,0,125.4400457,88.13400846,0
286,4.050886499,0,176.6836827,0.858150956,0
287,0,0,55.08718354,3.980197937,0
288,14.18296381,0,160.4395711,5.976529169,0
289,6.077680044,0,349.6078599,11.01948643,0
290,0,0,56.35202383,0.834489483,0
291,74.52956011,0,169.0104247,0.787483429,0
292,0,0,0,0,0
293,71.86656134,0,144.8910805,3.017894243,0
294,0.722621664,0,270.5397424,25.96717344,0
295,28.10463722,0,437.0972449,84.9168346,0
296,17.23497067,0,218.9874264,37.82499555,0
297,54.32859931,0,462.1975486,14.91739737,0
298,8.437393774,0,311.8742526,72.78589534,0
299,0.008879598,0,124.2267993,5.378402869,0
300,13.10264563,0,264.5088337,99.7499416,0
301,0,0,0,45.5,0
302,11.1047095,0,191.1654575,42.74913679,0
303,16.11740226,0,198.2517163,8.966028406,0
304,0,0,110.6124732,158.617115,0
305,2.152236901,0,273.7241777,251.3633485,0
306,13.42728373,0,184.8584922,5.849111333,0
307,1.331939661,0,79.20224975,31.01061597,13.415
308,2.663879323,0,63.94332911,7.838451394,0
309,0,0,0,27,0
310,0.004883779,0,99.03426387,1.88997842,12
311,7.374150741,0,190.717436,82.42091095,0
312,0,0,0,23.3,0
313,51.47325219,0,197.676544,45.09076963,0
314,5.384321683,0,165.9293115,7.577755027,0
315,2.722617862,0,425.5551036,239.6336232,0
316,3.560612139,0,478.3083456,27.36504035,0
317,4.591995176,0,331.9184521,57.47324913,0
318,0.576552281,0,252.6020104,102.2754801,0
319,0.856783507,0,865.0666879,213.9189213,0
320,1.271735989,0,276.5198991,36.07397628,0
321,72.41871373,0,223.9605778,4.815657951,0
322,215.5895473,0,750.1130257,2.021480572,0
323,211.1590542,0,335.6161443,9.988263214,0
324,43.14596543,0,200.0549959,7.944736841,0
325,38.12810474,0,352.1155594,16.68306232,0
326,41.82175102,0,218.5665662,7.237294402,0
327,11.99287351,0,79.09147806,9.309509416,0
328,251.1140296,0,256.9492275,9.670299943,0
329,26.6778457,0,242.7714342,7.841010192,0
330,11.65409592,0,220.1505529,2.687685977,0
331,7.102168458,0,34.58850148,1.933743721,0
332,2.202420402,0,21.32189137,0.010194671,0
333,266.6319747,0,98.36862974,0.327869885,0
334,168.902479,0,114.2342364,5.66313971,0
335,164.2670879,0,141.5821383,6.688389964,0
336,1386.086717,0,593.3425382,8.588648088,0
337,199.6644011,0,148.2561575,1.802909501,0
338,980.134485,0,268.7839866,4.322665573,0
339,151.0547823,0,248.5934462,8.557962865,0
340,7.520625317,0,41.47442611,4.052875885,0
341,0,0,0,0,0
342,13.81810873,0,16.53935127,7.324186231,0
343,4.201276001,0,19.76325924,13.47004279,0
344,10.33644419,0,41.79806185,0.224301334,0
345,243.0697715,0,385.1387824,3.045413981,0
346,78.50380878,0,124.4791337,2.885512052,0
347,20.25707162,0,42.61193261,3.161651917,0
348,56.80637665,0,55.2001891,7.440025409,0
349,106.0159398,0,79.38589423,26.36707043,0
350,280.9971274,0,218.2567046,8.437717744,0
351,24.58767292,0,44.11963762,126.7376308,0
352,151.2744355,0,228.0219664,1.070665035,0
353,93.6645057,0,66.17871345,1.159388674,0
354,69.92283577,0,184.4269473,5.291517697,0
355,0,0,0,17.8,0
356,95.27000112,0,61.81283173,0,0
357,228.9303093,0,464.5399198,2.711991689,0
358,1259.376857,0,476.2152141,0.028779537,0
359,621.793563,0,158.8874177,0,0
360,0,0,0,0,0
361,3.446808511,0,8.455428019,0,0
362,294.5199191,0,413.0435954,0,0
363,0,0,9.32279447,0,0
364,5.553191489,0,36.76445528,0,0
365,544.4290669,0,127.5818047,0.008633861,0
366,148.0244928,0,82.76335099,0.595649202,0
367,0,0,5.848408783,0,0
368,959.8910316,0,258.4048049,0.031395858,0
369,0,0,3.269938848,0,0
370,0,0,12.68901252,0,0
371,0,0,8.217962077,0,0
372,218.2055969,0,262.8014691,0.169188792,0
373,526.8073168,0,208.3190513,4.211628897,0
374,174.3428247,0,99.29595157,0.217414471,0
375,465.0923207,0,173.9585613,0.341651312,0
376,14.89954138,0,92.85014715,7.278284084,0
